Time Step,Health Status,dm,dmdt,domega
1717201231677218918,0.0,[2.32676126],[4.14987998e-08],1.0892896546792936
1717201231732146011,0.0,[3.13838846],[5.71373496e-08],-2.690936708189896
1717201231788808892,0.8693102853840468,[2.13176751],[3.76219406e-08],0.014460412974238501
1717201231850906588,0.7269484802140539,[2.37314115],[3.82162518e-08],0.02090173274294535
1717201231917327842,0.0,[1.43390746],[2.15880821e-08],0.21894980984389945
1717201231976155963,0.992645086687656,[1.94119407],[3.2997724e-08],-0.003430431649187937
1717201232032081116,0.0,[2.9045901],[5.1937098e-08],-0.23411019034798747
1717201232091928278,0.0,[1.45474198],[2.43076188e-08],0.04710013680909833
1717201232148258837,0.0,[0.42231906],[7.49715747e-09],2.858634478763253
1717201232205185468,0.0,[1.09533177],[1.92411139e-08],-2.6174674830682036
1717201232261470990,0.9034548975043256,[1.00519791],[1.78589075e-08],-0.012428683115804307
1717201232317910919,0.0,[0.73264451],[1.29809612e-08],2.736208231943491
1717201232428510637,0.0,[1.57444475],[1.42355224e-08],-0.06467494302675592
1717201232429514362,0.0,[1.25209869],[1.24745317e-06],-2.8278859483366565
1717201232486900994,0.7061699697249348,[1.53303902],[2.67142189e-08],-0.021682436404613398
1717201232543461597,0.11725256527380146,[3.48618957],[6.16363589e-08],-0.03758185593556973
1717201232599868722,0.0,[1.19072509],[2.11094805e-08],-0.1322143054585064
1717201232690701377,0.0,[0.43222018],[4.75842291e-09],1.0683904495064405
1717201232746871452,0.0,[1.37716206],[2.45177184e-08],0.09999996019814428
1717201232803185587,0.0,[1.30927457],[2.32494842e-08],1.8993215657933091
1717201232862152202,0.9553437158760395,[0.57201984],[9.70074082e-09],-0.008452813413197813
1717201232922715266,0.0,[1.53716025],[2.53811511e-08],-2.7813151675734296
1717201232979564562,0.0,[0.75339202],[1.32524426e-08],-0.16964602053732603
1717201233035430068,0.0,[0.71218355],[1.27481806e-08],0.11423935135176255
1717201233094491416,0.0,[0.32953912],[5.57960726e-09],0.674750235670057
1717201233151538833,0.0,[1.17988966],[2.06826135e-08],1.6390079781027072
1717201233208638930,0.0,[2.41471663],[4.22891868e-08],-2.472376905471272
1717201233265367993,0.0,[0.68909192],[1.21470705e-08],0.3116866147107631
1717201233320468162,0.0,[0.0545786],[9.9053427e-10],0.24377931454565988
1717201233377642454,0.0,[2.71601021],[4.75040471e-08],-0.3688890975005212
1717201233438659462,0.0,[2.47549155],[4.05705175e-08],-0.24609328471247524
1717201233496704340,0.8586503755133006,[1.84382865],[3.17655709e-08],0.01503859698172403
1717201233553869173,0.0,[1.61979716],[2.83355535e-08],2.9943487502345154
1717201233611318147,0.0,[0.47018937],[8.18446952e-09],0.056900018992549484
1717201233667912896,0.0,[0.61558215],[1.08770189e-08],-2.7613895697338044
1717201233724521702,0.0,[0.7107255],[1.25550345e-08],-0.04517908111740887
1717201233781737314,0.0,[1.60428079],[2.80392145e-08],-0.11891529684852076
1717201233838642785,0.0,[1.12602437],[1.97876297e-08],2.845039914238136
1717201233897074543,0.0,[2.40372217],[4.11372565e-08],-3.026425363492462
1717201233955870958,0.0,[1.2897305],[2.193553e-08],2.9428689957088223
1717201234013326885,0.0,[2.48399311],[4.32330185e-08],-2.7835355779550923
